year,city,country,avg_temp
2001,Kingston,Jamaica,27.27
2002,Kingston,Jamaica,27.51
2003,Kingston,Jamaica,27.62
2004,Kingston,Jamaica,27.47
2005,Kingston,Jamaica,27.34
2006,Kingston,Jamaica,27.58
2007,Kingston,Jamaica,27.61
2008,Kingston,Jamaica,27.17
2009,Kingston,Jamaica,27.42
2010,Kingston,Jamaica,27.09
2011,Kingston,Jamaica,27.17
2012,Kingston,Jamaica,27.51
2013,Kingston,Jamaica,27.41
